gu_name,n_grids,intersection,road_complexity,residential,rest,cctv,facility,pop_75plus_per_grid,discovery_prob
중랑구,4725,1.534,4.069,0.79,2.292,0.991,5.723,7.38,0.394
동대문구,4167,1.495,4.021,0.928,2.112,1.198,3.946,7.43,0.394
서대문구,4202,1.458,3.916,0.938,1.912,1.39,1.641,6.57,0.368
은평구,6224,1.264,3.541,0.835,2.324,11.878,2.535,7.05,0.365
강북구,3807,1.203,3.235,0.88,1.85,16.19,4.662,8.6,0.356
마포구,5072,1.448,3.934,0.821,1.706,1.376,0.88,5.36,0.346
중구,2699,1.383,3.709,0.569,2.098,2.611,1.095,4.39,0.332
성북구,5226,1.193,3.219,0.926,2.931,1.82,2.576,7.26,0.32
성동구,4056,1.237,3.39,0.735,3.489,1.734,1.558,5.5,0.312
도봉구,3378,1.073,2.956,0.666,2.994,1.524,8.774,9.62,0.282
종로구,4624,1.181,3.219,0.597,1.45,1.877,1.136,2.94,0.279
광진구,3693,1.09,3.074,0.876,2.161,1.136,2.84,6.76,0.268
영등포구,5385,1.098,2.934,0.462,2.621,11.555,1.7,5.62,0.264
송파구,7372,1.128,3.053,0.816,1.921,0.895,1.549,6.1,0.257
노원구,4715,1.033,2.833,0.715,3.005,1.016,2.635,9.17,0.256
금천구,3002,1.037,2.845,0.624,1.891,5.658,4.683,6.55,0.251
동작구,3231,0.943,2.642,0.891,2.75,0.93,1.588,10.14,0.245
관악구,5298,1.004,2.762,0.779,1.47,1.673,2.484,7.54,0.238
구로구,4231,0.961,2.639,0.676,3.654,1.541,1.401,8.32,0.229
용산구,4567,1.059,2.946,0.672,1.435,1.058,0.689,3.76,0.228
양천구,4635,0.952,2.676,0.827,3.019,1.197,2.761,6.89,0.226
강동구,4586,0.964,2.722,0.76,2.727,0.863,2.584,7.82,0.226
강서구,6676,0.979,2.75,0.611,2.065,0.843,3.176,6.64,0.216
서초구,7037,0.931,2.572,0.729,1.313,2.506,0.668,4.32,0.191
강남구,8443,0.942,2.609,0.769,1.022,1.563,0.991,4.67,0.191
