gu_name,top_feature_1,top_feature_2,top_feature_3,discovery_prob
중랑구,intersection,road_complexity,facility,0.394
동대문구,road_complexity,intersection,residential,0.394
서대문구,intersection,road_complexity,residential,0.368
은평구,cctv,road_complexity,residential,0.365
강북구,cctv,facility,pop_75plus_per_grid,0.356
마포구,road_complexity,intersection,residential,0.346
중구,intersection,road_complexity,cctv,0.332
성북구,residential,rest,pop_75plus_per_grid,0.32
성동구,rest,road_complexity,intersection,0.312
도봉구,facility,pop_75plus_per_grid,rest,0.282
종로구,intersection,road_complexity,cctv,0.279
광진구,residential,facility,pop_75plus_per_grid,0.268
영등포구,cctv,rest,intersection,0.264
송파구,residential,intersection,road_complexity,0.257
노원구,pop_75plus_per_grid,rest,facility,0.256
금천구,facility,cctv,pop_75plus_per_grid,0.251
동작구,pop_75plus_per_grid,residential,rest,0.245
관악구,pop_75plus_per_grid,residential,facility,0.238
구로구,rest,pop_75plus_per_grid,cctv,0.229
용산구,road_complexity,intersection,cctv,0.228
양천구,rest,residential,pop_75plus_per_grid,0.226
강동구,rest,pop_75plus_per_grid,residential,0.226
강서구,facility,pop_75plus_per_grid,rest,0.216
서초구,cctv,residential,facility,0.191
강남구,residential,cctv,facility,0.191
