gu_name,missing_count,pop_65plus,rate_per_10k
종로구,44,31045,14.173
중구,20,27497,7.274
동대문구,52,73765,7.049
강북구,44,75198,5.851
용산구,22,40223,5.47
노원구,56,106101,5.278
마포구,31,62410,4.967
영등포구,33,72168,4.573
송파구,55,121744,4.518
강서구,51,114922,4.438
광진구,28,63236,4.428
관악구,36,93239,3.861
금천구,18,50393,3.572
구로구,31,87137,3.558
양천구,30,85718,3.5
도봉구,26,79438,3.273
중랑구,25,89529,2.792
성동구,14,54008,2.592
서대문구,16,62806,2.548
강동구,23,99529,2.311
성북구,20,88408,2.262
동작구,17,76457,2.223
강남구,21,96656,2.173
은평구,17,103736,1.639
서초구,11,73218,1.502
