scenario,feature,delta,top50_overlap,top50_overlap_pct,top100_overlap,top100_overlap_pct,top500_overlap,top500_overlap_pct,top1000_overlap,top1000_overlap_pct
intersection_+20%,intersection,+20%,48.0,0.96,99.0,0.99,488.0,0.976,972.0,0.972
intersection_-20%,intersection,-20%,47.0,0.94,94.0,0.94,482.0,0.964,967.0,0.967
road_complexity_+20%,road_complexity,+20%,49.0,0.98,98.0,0.98,493.0,0.986,980.0,0.98
road_complexity_-20%,road_complexity,-20%,48.0,0.96,96.0,0.96,490.0,0.98,979.0,0.979
residential_+20%,residential,+20%,39.0,0.78,84.0,0.84,459.0,0.918,971.0,0.971
residential_-20%,residential,-20%,46.0,0.92,70.0,0.7,451.0,0.902,964.0,0.964
rest_area_+20%,rest_area,+20%,45.0,0.9,80.0,0.8,457.0,0.914,957.0,0.957
rest_area_-20%,rest_area,-20%,45.0,0.9,85.0,0.85,453.0,0.906,958.0,0.958
cctv_+20%,cctv,+20%,46.0,0.92,91.0,0.91,488.0,0.976,984.0,0.984
cctv_-20%,cctv,-20%,47.0,0.94,94.0,0.94,483.0,0.966,986.0,0.986
facility_+20%,facility,+20%,48.0,0.96,97.0,0.97,487.0,0.974,989.0,0.989
facility_-20%,facility,-20%,44.0,0.88,96.0,0.96,489.0,0.978,986.0,0.986
population_proxy_+20%,population_proxy,+20%,49.0,0.98,99.0,0.99,496.0,0.992,992.0,0.992
population_proxy_-20%,population_proxy,-20%,50.0,1.0,99.0,0.99,496.0,0.992,990.0,0.99
random_±10%_50trials,all,±10%,46.76,0.9351999999999999,92.36,0.9236,482.6,0.9652000000000001,981.94,0.98194
intersection_REMOVED,intersection,ablation,31.0,0.62,39.0,0.39,276.0,0.552,590.0,0.59
road_complexity_REMOVED,road_complexity,ablation,37.0,0.74,72.0,0.72,410.0,0.82,823.0,0.823
residential_REMOVED,residential,ablation,37.0,0.74,59.0,0.59,281.0,0.562,668.0,0.668
rest_area_REMOVED,rest_area,ablation,13.0,0.26,43.0,0.43,312.0,0.624,774.0,0.774
cctv_REMOVED,cctv,ablation,22.0,0.44,72.0,0.72,441.0,0.882,932.0,0.932
facility_REMOVED,facility,ablation,40.0,0.8,84.0,0.84,445.0,0.89,928.0,0.928
population_proxy_REMOVED,population_proxy,ablation,47.0,0.94,91.0,0.91,475.0,0.95,960.0,0.96
